sep=,
Frame,Toan_than,Tay_Chan_8key,Uy_tin_Vai_Hong
1,77.09,64.59,81.07
2,71.70,62.18,80.73
3,68.74,60.88,80.79
4,66.75,60.06,80.87
5,66.00,59.67,80.92
6,65.99,60.09,80.84
7,65.31,60.07,79.69
8,64.79,59.79,80.16
9,63.85,60.12,80.00
10,63.95,60.85,80.07
11,63.92,61.62,79.53
12,63.58,62.09,79.41
13,63.05,62.34,79.42
14,63.34,62.52,79.79
15,62.38,62.29,80.30
16,62.28,62.16,79.41
17,61.59,62.01,80.75
18,62.07,61.93,79.66
19,62.00,61.80,79.86
20,62.68,62.07,79.98
21,61.42,62.42,81.36
22,62.72,65.15,79.75
23,62.65,62.56,81.62
24,63.31,66.39,80.46
25,64.20,67.29,81.04
26,63.87,67.14,81.28
27,63.59,64.06,83.32
28,64.36,64.50,84.28
29,64.16,64.91,83.83
30,64.73,65.28,83.17
31,66.64,66.46,83.19
32,67.01,65.82,82.84
33,69.65,66.73,83.39
34,66.03,67.85,81.79
35,65.97,66.47,81.65
36,64.72,64.53,80.82
37,65.18,64.04,80.65
38,63.23,63.52,84.67
39,65.37,65.21,85.06
40,66.42,64.49,83.13
41,70.36,67.46,83.06
42,69.95,66.32,79.00
43,68.82,64.46,75.28
44,63.28,57.21,70.15
45,59.51,57.67,67.78
46,59.75,57.90,66.27
47,58.69,56.95,64.67
48,58.22,56.10,63.62
49,57.71,54.85,62.10
50,56.40,54.14,61.38
51,54.93,54.48,61.37
52,55.00,54.82,61.46
53,54.54,52.69,59.88
54,53.56,53.05,61.26
55,54.28,51.24,58.91
56,52.57,50.14,58.79
57,54.93,50.86,56.89
58,52.80,49.66,56.84
59,53.56,50.86,58.21
60,53.75,51.13,58.73
61,56.37,53.08,59.55
62,59.67,55.39,61.84
63,63.54,54.98,58.57
64,62.40,57.46,60.00
65,65.82,56.44,60.11
66,63.89,57.92,60.49
67,60.71,54.97,61.13
68,61.68,57.79,64.77
69,61.30,58.41,66.80
70,62.21,59.58,68.49
71,61.12,58.55,67.19
72,60.49,57.96,66.11
73,60.61,58.01,63.98
74,60.65,57.24,61.60
75,60.19,56.64,61.03
76,59.52,56.34,60.08
77,60.74,56.43,60.18
78,61.07,56.31,60.47
79,60.35,56.02,61.48
80,59.72,54.89,62.74
81,56.46,53.91,63.27
82,59.54,54.88,63.23
83,58.16,54.49,63.17
84,58.99,55.06,63.70
85,59.37,54.53,62.29
86,58.28,54.19,61.52
87,57.41,53.92,61.44
88,57.68,54.15,61.36
89,56.46,53.84,61.59
90,59.24,57.06,63.23
91,58.92,57.50,65.03
92,55.82,53.28,63.50
93,77.85,61.69,66.08
94,71.03,69.75,80.78
95,56.73,60.68,77.36
96,70.26,74.87,92.97
97,65.88,59.94,76.35
98,67.94,69.65,90.92
99,56.53,53.36,72.97
100,59.41,56.24,74.27
101,61.26,58.55,77.46
AVERAGE,62.02,59.42,71.74
