sep=,
Frame,Toan_than,Tay_Chan_8key,Uy_tin_Vai_Hong
1,77.35,64.58,81.14
2,72.09,62.29,81.03
3,69.30,61.00,81.23
4,67.40,60.19,81.23
5,66.39,59.83,81.10
6,65.99,60.09,80.84
7,65.38,60.07,79.81
8,64.56,59.82,80.02
9,63.85,60.12,80.00
10,63.97,60.88,80.05
11,63.92,61.62,79.53
12,63.58,62.09,79.41
13,63.05,62.34,79.42
14,63.34,62.52,79.79
15,62.41,62.28,80.35
16,62.43,62.16,79.49
17,61.69,62.01,80.81
18,62.16,61.94,79.68
19,61.96,61.82,79.77
20,62.54,62.14,79.86
21,61.61,62.42,81.54
22,62.50,65.33,79.80
23,62.49,62.66,81.35
24,63.25,66.41,80.40
25,64.05,67.06,80.85
26,63.76,66.94,81.17
27,63.76,64.19,83.09
28,64.10,64.73,83.64
29,64.19,64.90,83.89
30,64.46,65.21,83.24
31,66.02,66.31,83.19
32,65.35,64.99,82.00
33,65.80,63.85,80.98
34,67.33,70.82,86.08
35,66.69,70.97,87.67
36,64.46,64.42,81.65
37,65.01,63.75,81.91
38,60.88,63.07,83.39
39,61.12,63.02,82.52
40,60.20,60.49,79.64
41,61.57,61.04,78.69
42,60.12,58.65,74.30
43,59.51,57.24,70.86
44,58.70,56.05,67.71
45,59.51,57.67,67.78
46,59.75,57.90,66.27
47,58.69,56.95,64.67
48,57.97,56.02,63.47
49,57.42,54.48,61.62
50,56.82,53.79,61.11
51,54.93,54.48,61.37
52,55.00,54.82,61.46
53,55.36,54.23,60.26
54,53.56,53.05,61.26
55,55.67,53.99,59.68
56,57.58,52.43,60.77
57,56.70,54.56,59.01
58,55.17,54.35,59.63
59,54.89,53.53,59.02
60,54.98,53.61,59.50
61,62.27,54.40,62.08
62,62.30,54.16,62.58
63,65.17,56.09,61.19
64,64.20,59.09,63.10
65,64.99,56.94,61.24
66,64.56,58.74,62.01
67,60.67,55.04,61.14
68,60.94,56.28,61.71
69,60.09,55.89,61.88
70,59.68,56.02,61.86
71,59.02,55.81,62.13
72,58.96,56.02,62.53
73,60.11,57.57,63.21
74,61.31,58.18,63.19
75,60.92,57.64,62.70
76,60.43,57.43,61.98
77,61.51,57.41,61.90
78,61.95,57.37,62.32
79,61.15,56.78,62.74
80,59.41,54.75,62.37
81,56.37,53.74,62.95
82,59.45,54.68,62.86
83,57.78,54.26,62.82
84,58.15,54.77,63.37
85,57.97,54.49,62.83
86,57.79,54.57,62.62
87,57.40,54.42,62.51
88,57.79,54.54,62.10
89,56.65,54.09,61.97
90,59.03,56.86,62.75
91,58.39,56.83,63.65
92,55.49,53.27,63.78
93,79.50,62.79,66.78
94,71.32,67.27,76.40
95,54.07,56.21,68.75
96,68.59,68.46,81.95
97,66.85,59.82,76.32
98,68.48,67.09,85.23
99,57.47,54.46,72.93
100,59.58,56.33,74.30
101,61.66,58.51,77.62
AVERAGE,61.72,59.20,71.38
