sep=,
Frame,Toan_than,Tay_Chan_8key,Uy_tin_Vai_Hong
1,80.22,64.50,80.29
2,74.39,62.41,80.76
3,70.77,60.74,80.38
4,71.32,60.98,80.18
5,67.20,59.59,79.88
6,68.57,60.12,79.48
7,68.65,61.45,80.35
8,65.63,59.61,78.71
9,66.05,59.74,78.43
10,65.96,61.30,79.50
11,65.71,61.56,78.92
12,65.21,62.33,79.65
13,64.12,62.36,79.24
14,64.13,62.55,78.92
15,61.66,61.82,79.15
16,63.35,62.82,79.86
17,62.94,62.98,80.16
18,63.08,62.25,79.62
19,62.92,62.78,80.51
20,63.30,63.04,81.06
21,63.23,63.52,81.08
22,62.42,62.71,80.17
23,62.20,63.39,81.67
24,64.44,63.79,80.69
25,63.07,64.31,81.85
26,62.42,63.52,80.58
27,64.01,64.54,82.07
28,65.29,65.18,82.99
29,64.54,64.81,81.29
30,64.40,64.77,80.63
31,66.70,66.28,81.38
32,66.66,65.36,80.19
33,65.06,64.02,80.84
34,64.67,63.25,79.87
35,62.21,62.19,81.85
36,61.10,61.17,82.45
37,62.01,61.46,83.23
38,62.65,62.07,82.79
39,65.14,64.19,81.93
40,64.55,64.69,79.70
41,68.65,68.38,80.38
42,68.19,64.77,79.46
43,70.91,65.24,77.08
44,72.55,65.26,74.60
45,71.87,63.69,72.76
46,66.32,61.31,70.59
47,65.13,59.80,67.81
48,64.90,59.45,66.91
49,62.72,58.42,65.10
50,66.36,60.42,64.61
51,66.51,61.05,65.17
52,69.98,62.33,65.43
53,69.83,61.82,65.86
54,71.99,61.39,64.61
55,72.52,60.89,64.65
56,71.58,60.01,63.01
57,79.52,65.49,65.27
58,79.97,66.32,65.20
59,80.48,67.19,64.64
60,85.30,71.07,66.45
61,68.14,58.41,62.43
62,74.52,64.08,65.54
63,82.66,70.59,67.84
64,87.08,74.40,70.03
65,89.48,77.03,72.02
66,89.29,76.46,71.65
67,87.09,74.05,70.45
68,79.18,67.80,68.73
69,76.24,65.19,67.60
70,74.87,62.13,65.95
71,74.03,61.56,66.47
72,70.15,60.14,66.55
73,66.92,59.42,67.41
74,66.26,59.93,66.52
75,67.55,60.59,65.44
76,63.65,59.23,66.57
77,65.60,58.62,65.06
78,65.52,58.58,65.01
79,66.90,60.28,66.85
80,65.77,59.80,67.08
81,66.93,59.34,65.67
82,66.42,58.01,65.70
83,64.86,57.37,66.18
84,63.77,56.56,66.08
85,60.69,54.02,65.16
86,61.77,55.37,65.22
87,62.71,56.63,66.34
88,61.42,56.92,65.45
89,62.63,57.84,65.40
90,61.54,56.63,65.38
91,64.16,58.16,66.41
92,64.39,59.55,68.56
93,65.67,59.32,68.54
94,73.62,62.75,72.36
95,76.79,65.77,74.59
96,62.59,60.70,71.87
97,63.12,59.67,71.18
98,61.82,57.66,71.42
99,61.42,57.72,72.56
100,60.67,56.54,72.49
101,61.18,60.45,76.68
AVERAGE,67.98,62.27,73.07
