sep=,
Frame,Toan_than,Tay_Chan_8key,Uy_tin_Vai_Hong
1,81.23,64.67,80.12
2,75.46,62.36,80.20
3,72.16,60.94,80.51
4,69.63,60.18,80.48
5,68.32,59.88,80.27
6,67.89,60.06,80.01
7,67.17,60.14,79.57
8,66.28,60.05,79.19
9,65.75,60.25,79.09
10,65.63,61.08,79.24
11,65.51,61.80,79.43
12,64.92,62.28,79.39
13,64.28,62.54,79.42
14,63.82,62.64,79.28
15,63.34,62.58,79.44
16,62.88,62.46,79.70
17,62.79,62.43,79.91
18,62.83,62.37,80.04
19,62.59,62.24,80.11
20,62.70,62.49,80.26
21,62.82,62.82,80.41
22,62.68,62.91,80.45
23,62.69,63.07,80.54
24,63.02,63.44,80.84
25,63.35,63.85,81.28
26,63.48,64.06,81.52
27,63.86,64.33,81.70
28,64.48,64.87,82.00
29,65.00,65.05,81.43
30,65.27,65.27,80.85
31,66.07,66.01,81.01
32,66.00,64.96,80.00
33,64.33,63.27,79.36
34,63.49,62.81,80.20
35,60.61,61.45,81.01
36,58.30,59.83,81.33
37,57.83,58.01,80.68
38,55.65,55.51,79.25
39,54.58,55.19,77.53
40,55.46,56.13,76.51
41,55.00,55.60,75.16
42,58.46,54.68,73.77
43,64.70,58.45,73.01
44,68.91,61.01,71.82
45,70.11,62.48,70.93
46,67.30,61.10,68.57
47,65.01,59.62,66.65
48,66.31,60.09,66.25
49,70.30,61.99,65.88
50,71.28,62.13,65.40
51,71.74,62.26,65.86
52,72.61,62.49,65.89
53,72.69,61.79,65.14
54,72.85,61.30,64.88
55,74.33,62.00,64.93
56,76.64,63.51,64.85
57,78.97,65.00,65.29
58,81.31,66.84,65.69
59,83.47,68.29,65.36
60,84.36,69.27,65.90
61,85.79,70.77,67.06
62,86.76,71.65,67.26
63,87.60,72.68,67.70
64,87.50,73.15,68.00
65,85.20,71.61,67.55
66,82.70,69.73,67.52
67,78.99,67.32,67.45
68,76.32,65.44,67.22
69,75.60,64.44,67.01
70,75.03,64.04,66.89
71,73.20,62.78,67.09
72,71.35,61.75,67.05
73,68.36,60.76,67.09
74,66.37,60.00,66.83
75,64.71,58.93,65.99
76,63.77,58.06,65.18
77,64.05,57.81,64.83
78,64.26,57.90,65.10
79,64.83,58.10,65.72
80,65.24,58.29,66.21
81,66.07,58.78,66.42
82,66.67,59.10,66.56
83,66.99,59.01,66.52
84,66.21,58.99,67.00
85,64.89,58.54,66.67
86,64.28,58.34,66.12
87,62.81,57.74,66.00
88,62.22,57.43,65.54
89,61.70,57.10,65.30
90,62.33,57.54,65.83
91,63.34,58.46,66.94
92,65.61,59.65,67.76
93,67.53,60.59,69.40
94,67.72,60.81,72.53
95,65.74,60.41,73.62
96,63.72,61.95,73.04
97,62.84,60.23,71.81
98,62.85,58.93,71.62
99,61.89,58.10,72.09
100,62.05,57.81,72.92
101,62.04,60.14,76.07
AVERAGE,67.70,61.79,72.67
